index,Sub-nation,Maize,Rice,Soybean,Wheat,GTAP7,SRES_4reg,SRES_11reg,RECCAP1,Raupach_2007,Houghton_2001,IMACLIM,Kyoto,RCP_5reg,RCP_10reg,Houghton_2017,AR6_5reg,AR6_10reg,AR6_22reg,Finest,MESSAGE
0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,Afghanistan,USA,China,Brazil,EU27,Australia,OECD90,North America,Africa,USA,North America,USA,Annex B,Asia region, North America,Sub-Saharan Africa,Africa and Middle East,Africa,Asia-Pacific Developed (others),Australia,Sub-Saharan Africa
2,Aland,China,India,USA,China,New Zealand,Reforming economies,Western Europe,Arctic,EU,South & Central America,Canada,non Annex B,Latin America, Western Europe,Latin America,Asia and Developing Pacific,"Australia, Japan, New Zealand",Australia & New Zealand,New Zealand,Centrally planned Asia and China
3,Albania,Brazil,Indonesia,Argentina,India,Rest of Oceania,Asia region,Pacific OECD,Oceania,Japan,Europe,Europe,,Middle-East & Africa, Pacific OECD,South and Southeast Asia,Developed Countries,Eastern Asia,Caribbean,Rest of Oceania,Central and Eastern Europe
4,Algeria,EU27,Bangladesh,China,Russia,China,Africa & Latin America & Middle-East,Central and Eastern Europe,East Asia,D1,North Africa & Middle East,OECD Pacific,,OECD countries in 1990, Economies in Transition,North America,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Developing Pacific,China,Former Soviet Union
5,American Samoa,Argentina,Vietnam,India,USA,"Hong Kong, Special Administrative Region of China",,Former Soviet Union,S.E. Asia,FSU,Tropical Africa,CEI,,Reforming countries, Latin America and Caribbean,Europe,Latin America and Caribbean,Europe,Eastern Africa,Japan,Latin America and the Caribbean
6,Andorra,Others,Others,Others,Others,Japan,,Centrally Planned Asia,S. Asia,China,Former Soviet Union,China,,, Sub Saharan Africa,Former Soviet Union,,Latin America and Caribbean,Eastern Asia,South Korea,Middle East and North Africa
7,Angola,,,,,South Korea,,South Asia,Europe,India,China region,India,,, Middle East and North Africa,China,,Middle East,Eurasia,Taiwan,North America
8,Anguilla,,,,,Taiwan,,Pacific Asia,N. America,D2,South & South-East Asia,Brazil,,, East Asia,North Africa and the Middle East,,North America,"Greenland, Bermuda + others",Rest of East Asia,Pacific OECD
9,Antarctica,,,,,Rest of East Asia,,Middle East and North Africa,Russia,D3,Pacific Developed region,Middle East,,, South Asia,East Asia,,South-East Asia and Pacific,India & Sri Lanka,Cambodia,Other Pacific Asia
10,Antigua and Barbuda,,,,,Cambodia,,Latin America and the Caribbean,S. America,,,Africa,,, South-East Asia and Pacific,Oceania,,Southern Asia,Meso America,Indonesia,South Asia
11,Argentina,,,,,Indonesia,,Sub-Saharan Africa,,,,Rest of Asia,,,,,,,Middle East,Laos,Western Europe
12,Armenia,,,,,Laos,,,,,,Rest of LAM,,,,,,,North Africa,Myanmar,
13,Aruba,,,,,Myanmar,,,,,,,,,,,,,Northern and western Europe,Malaysia,
14,Ashmore and Cartier Islands,,,,,Malaysia,,,,,,,,,,,,,Rest of Southern Asia,Philippines,
15,Australia,,,,,Philippines,,,,,,,,,,,,,South America,Thailand,
16,Australia - North,,,,,Singapore,,,,,,,,,,,,,South-East Asia,Vietnam,
17,Australia - South,,,,,Thailand,,,,,,,,,,,,,Southern and eastern Europe,Rest of Southeast Asia,
18,Australia - West,,,,,Vietnam,,,,,,,,,,,,,Southern and middle Africa,Bangladesh,
19,Australian Indian Ocean Territories,,,,,Rest of Southeast Asia,,,,,,,,,,,,,USA & Canada,India,
20,Austria,,,,,Bangladesh,,,,,,,,,,,,,Western Africa,Pakistan,
21,Azerbaijan,,,,,India,,,,,,,,,,,,,,Sri Lanka,
22,Bahrain,,,,,Pakistan,,,,,,,,,,,,,,Rest of South Asia,
23,Bangladesh,,,,,Sri Lanka,,,,,,,,,,,,,,Canada,
24,Barbados,,,,,Rest of South Asia,,,,,,,,,,,,,,United States of America,
25,Belarus,,,,,Canada,,,,,,,,,,,,,,Mexico,
26,Belgium,,,,,United States of America,,,,,,,,,,,,,,Rest of North America,
27,Belize,,,,,Mexico,,,,,,,,,,,,,,Argentina,
28,Benin,,,,,Rest of North America,,,,,,,,,,,,,,Bolivia,
29,Bermuda,,,,,Argentina,,,,,,,,,,,,,,Brazil,
30,Bhutan,,,,,Bolivia,,,,,,,,,,,,,,Chile,
31,Bolivia,,,,,Brazil,,,,,,,,,,,,,,Colombia,
32,Bosnia and Herzegovina,,,,,Chile,,,,,,,,,,,,,,Ecuador,
33,Botswana,,,,,Colombia,,,,,,,,,,,,,,Paraguay,
34,Brazil,,,,,Ecuador,,,,,,,,,,,,,,Peru,
35,Brazil - Centerwest,,,,,Paraguay,,,,,,,,,,,,,,Uruguay,
36,Brazil - North,,,,,Peru,,,,,,,,,,,,,,Venezuela,
37,Brazil - Northeast,,,,,Uruguay,,,,,,,,,,,,,,Rest of South America,
38,Brazil - South,,,,,Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,Costa Rica,
39,Brazil - Southeast,,,,,Rest of South America,,,,,,,,,,,,,,Guatemala,
40,British Indian Ocean Territory,,,,,Costa Rica,,,,,,,,,,,,,,Nicaragua,
41,British Virgin Islands,,,,,Guatemala,,,,,,,,,,,,,,Panama,
42,Brunei,,,,,Nicaragua,,,,,,,,,,,,,,Rest of Central America,
43,Bulgaria,,,,,Panama,,,,,,,,,,,,,,Rest of Caribbean,
44,Burkina Faso,,,,,Rest of Central America,,,,,,,,,,,,,,Austria,
45,Burundi,,,,,Rest of Caribbean,,,,,,,,,,,,,,Belgium,
